user_id,item_cd,date,dow,amount
1,25007,2012-03-01,4_Thu,1163
1,87633,2012-03-01,4_Thu,292
2,335006,2012-03-01,4_Thu,300
3,265356,2012-03-01,4_Thu,2301
3,273123,2012-03-01,4_Thu,3685
3,339947,2012-03-01,4_Thu,739
4,345568,2012-03-01,4_Thu,3603
5,363221,2012-03-01,4_Thu,2300
6,294196,2012-03-01,4_Thu,2848
7,241493,2012-03-01,4_Thu,4700
8,325628,2012-03-01,4_Thu,3324
8,370586,2012-03-01,4_Thu,1517
8,325628,2012-03-01,4_Thu,3324
8,364345,2012-03-01,4_Thu,4300
8,370588,2012-03-01,4_Thu,1517
9,320922,2012-03-01,4_Thu,761
9,320921,2012-03-01,4_Thu,571
10,22763,2012-03-01,4_Thu,2848
11,316508,2012-03-01,4_Thu,5400
12,192694,2012-03-01,4_Thu,8900
13,370410,2012-03-01,4_Thu,3307
13,373384,2012-03-01,4_Thu,3982
13,253836,2012-03-01,4_Thu,1283
14,347219,2012-03-01,4_Thu,6458
15,263254,2012-03-01,4_Thu,4762
15,263254,2012-03-01,4_Thu,4762
17,178334,2012-03-01,4_Thu,1200
18,352504,2012-03-01,4_Thu,4130
19,349656,2012-03-01,4_Thu,3800
20,380135,2012-03-01,4_Thu,3000
20,260219,2012-03-01,4_Thu,3400
21,375688,2012-03-01,4_Thu,4754
21,375686,2012-03-01,4_Thu,6401
22,348747,2012-03-01,4_Thu,6615
22,368051,2012-03-01,4_Thu,2848
22,376805,2012-03-01,4_Thu,3300
22,370901,2012-03-01,4_Thu,952
23,316957,2012-03-01,4_Thu,2848
23,225084,2012-03-01,4_Thu,251
23,225086,2012-03-01,4_Thu,251
23,225083,2012-03-01,4_Thu,251
24,366333,2012-03-01,4_Thu,7600
24,354033,2012-03-01,4_Thu,1500
24,366332,2012-03-01,4_Thu,8300
24,268386,2012-03-01,4_Thu,4200
25,381294,2012-03-01,4_Thu,1200
26,5227002074,2012-03-01,4_Thu,389
